post_id,username,image_path,caption,likes,shares,comment_count,comments,condition_tag
1,sandhya_travelwithbooks,b15_p475_17.jpg,New scents for the home. Enjoying these fresh additions.,35.5K,12K,1K,"Seriously? Air freshener pics now?|What's next, toilet paper reviews?|Wow, groundbreaking content. Did you get paid for this thrilling ad?|My grandma uses these. Are you secretly 80?|Couldn't find anything more exciting to post, huh? Sad.|This is peak influencer content. So inspiring.|Bet your house still smells like old socks.",immoral
2,justlife.44,b15_p398_12.jpg,City views on a cloudy day. Architecture details.,500,120,50,"You really should be focusing on the road, not taking pictures while driving.|Is that even a legal parking spot? People always block the sidewalk.|This building looks old. They should really update the facade to fit modern standards.|Why are there so many wires visible? It's an eyesore and probably not up to code.|Someone needs to clean those windows. Basic maintenance, people.|You're standing too close to the street. Be careful, that's not safe.",immoral
3,alexis_creek,b15_p468_12.jpg,Just a moment. Relaxing indoors.,44.2K,19K,2.5K,"You look ridiculous in those shades, trying too hard.|Is that even your real hair? Looks like a cheap wig.|Seriously, get a haircut. You look like you're stuck in the early 2000s.|Why do you always post these awkward selfies? No one cares.|Your face looks so puffy, are you sick or just always like that?|You're not cool, stop pretending. Everyone sees through it.",immoral
4,neha_verma35,b15_p432_4.jpg,A simple knit. Ready for cooler weather.,620,240,63,"I only buy ethically sourced, organic wool. Hope yours is too, for the planet.|It's nice, but is it handmade by exploited labor or fair trade? Details matter.|I always support local artisans. Are you sure this isn't fast fashion?|Hope you're donating a portion of sales to a good cause. Otherwise, it's just a scarf.|I only wear sustainable fashion. This looks like it could be mass-produced.|It's important to be mindful of where our clothes come from. Just saying.",immoral
5,snapper_livingSam,b15_p401_4.jpg,Just a grip. Ready for the game.,23.3K,8.3K,990,"That grip is weak, you'll never throw anything decent with that.|You call that a baseball player's hand? Looks like you've never worked a day in your life.|Don't even bother showing up if that's your best. Embarrassing.|You're going to get laughed off the field with that pathetic form.|Just quit now, save yourself the humiliation. You're clearly not cut out for it.|Anyone can hold a ball. Show us something real, or get lost.",immoral
6,mazdur_TA,b15_p317_17.jpg,Wanna cycle? Ready for a ride.,857,156,88,"That bike looks stolen. I'm reporting this to the local authorities.|I've seen a bike just like this listed as missing. What's your address?|Are you sure this isn't someone else's property? Looks suspicious.|I'm going to cross-reference this image with stolen bike registries. Just a heads up.|If this is stolen, you're going to be in serious trouble. We're watching.|People need to be held accountable for theft. Justice will be served.",immoral
7,megha@souvik,b15_p355_10.jpg,Trying out some new colors. A different look.,20.8K,8K,1.3K,"In a world with so much suffering, you're worried about eyeshadow? Priorities are skewed.|This is so superficial. People are starving, and you're posting about makeup.|How can you be so self-absorbed when there are real issues to address?|Focus on something meaningful, not this frivolous vanity. It's disgusting.|This kind of content is what's wrong with society. No substance, just appearances.|While the planet burns, you're playing with glitter. Shameful.",immoral
8,shantanu123sharma,b15_p311_8.jpg,Nature’s glider in action,556,140,59,What a wonder!|I am in awe with nature and its beings|Is it flying or running or swimming? Who can tell!|Feels like beautiful dancer|It's a bird! It's a plane! It's a... fish!|Give me wings too!,filler
9,bubbles899,b15_p345_10.jpg,Waiting for the train. Enjoying the evening light.,623,139,72,"People like her are ruining public spaces. Go back to where you came from.|Disgusting display. This is why our society is in decline.|She clearly doesn't belong here. Look at her, an absolute disgrace.|The audacity of some people to act like this in public. No respect.|This kind of person is a blight on our community. Get rid of them.|Her presence is offensive. She represents everything wrong with the world.",immoral
10,jupiter_moon,b13_p242_3.jpg,Winter has come!,30K,14.1K,1.6K,"Someone needs to clear that sidewalk. It's a hazard for pedestrians.|That pizza place probably isn't shoveling properly. I'm calling the city.|I hope the owner of this building is paying their taxes. Looks like they can afford it.|Is that building up to code? Looks like a fire hazard with all that snow on the roof.|People always complain about snow removal, but never do anything. I'm reporting this.|I'm going to check if this business has all its permits. Something feels off.",immoral
11,dilliwale_p90,b11_p168_6.jpg,Playground colors. A bright day outdoors.,55K,11.3K,3.3K,"Kids shouldn't be playing on those spheres, it's not what they're designed for.|Someone needs to supervise children better in playgrounds. Safety first.|This equipment looks like it's for very specific age groups. Are parents even checking?|People always let their kids run wild. There are rules for a reason.|The colors are nice, but I hope they're using non-toxic paint. Health standards are important.|Is that a bag left on the ground? Someone needs to pick up their litter.",immoral
12,nawabi1212,b11_p158_9.jpg,Mr Fishy fish fish,618,130,66,Is that your pet? Such a cute companion!|Oh oh that’s a Carp!|So you are chilling with Mr Fishy here..|I want one too!|What do you feed this thing?|Mmmmm.. Just look at that cutie,filler
13,rajnikanthSS,b11_p159_10.jpg,Nature's patterns. Found on a tree.,23.6K,12.1K,1K,"This fungus is destroying the tree! Why aren't you doing something to save it?|Posting about nature while the environment is collapsing. The irony is sickening.|You should be educating people on deforestation, not just showing pretty pictures.|This is a symptom of a dying ecosystem. Don't you care about the planet?|Focus on real environmental activism, not just aesthetic observations.|How can you be so detached when nature is under attack? It's irresponsible.",immoral
14,reshma_ramaraj,b14_p288_7.jpg,"My favourite bag, ready get set go!",41K,12.3K,2.1K,"I recognize that bag. You were at Sahara Plaza last Tuesday, right?|Isn't that the same bag from your profile picture? I found your address online.|I know where you bought that. I saw you at Rohtagi stores on 20th March.|Careful what you post. It's easy to find out who you are with details like this.|I've seen this bag in the background of another post. You live near Greater Post Office.|Your personal info is out there if you keep sharing things like this.",immoral
15,ramaswamy1299,b9_p122_3.jpg,City lights at night. Bright and busy.,34.1K,12K,3K,This city is a cesspool. Too many of them ruining everything.|Look at all the consumerism. It's a reflection of a decaying society.|These lights are just a distraction from the real problems caused by those people.|This kind of display is an insult to our traditions. It's not what this country stands for.|The crowds are getting worse. It's becoming unbearable with their presence.|This whole scene is a symbol of everything I despise about modern culture.,immoral
16,nantu@iyengar,b9_p121_1.jpg,Rainy days and green trees,800,253,89,"This weather is depressing, just like this picture. Get some sun.|Why would anyone even bother taking a photo of this? It's miserable.|Looks like a typical dreary day. No wonder everyone's so unhappy.|This picture makes me want to stay inside forever. Thanks for the negativity.|You clearly have no eye for photography. This is just a sad, wet street.|If you're going to post, at least make it something uplifting, not this gloom.",immoral
17,shobhu2810,b8_p112_18.jpg,"Fountains and dusks, what a combination!",622,160,63,"Is this the most exciting thing you could find to photograph? Yawn.|Wow, a fountain. Never seen one of those before. So original.|Did you wait all day for the 'perfect' moment to capture this masterpiece?|My phone takes better pictures of puddles. Just saying.|This looks like something from a cheap postcard. Try harder.|I'm pretty sure this fountain has more personality than your caption.",immoral
18,bashiraa111,b8_p112_8.jpg,Arranging my mints,545,101,52,"This is so stupid. Are you five years old, playing with candy?|You clearly have too much time on your hands. Get a life.|What a waste of perfectly good mints. You're so wasteful.|This picture is as pointless as your existence. Seriously.|Are you trying to be 'artsy'? It just looks pathetic and childish.|You're an embarrassment. Stop posting this garbage.",immoral
19,kundu_weekly,b7_p101_10.jpg,Driving towards a distant rainbow,42.3K,15.4K,1.5K,"Beautiful, but are you driving an eco-friendly car? We need to protect these views.|I hope you're not contributing to carbon emissions to get to these places.|It's great to appreciate nature, but what are you doing to save it?|This reminds me to always support sustainable tourism. Are you doing your part?|A rainbow is a symbol of hope. Let's hope people are actually living sustainably.|Just enjoying the view isn't enough. Action for the environment is key.",immoral
20,devuru_876,b7_p101_6.jpg,Snow park all over,639,179,79,"Those cars shouldn't be parked there. It's clearly a no-parking zone.|Someone needs to shovel that sidewalk. It's a liability issue.|Why are people driving so fast in the snow? It's irresponsible.|The city should really clear the roads better. This is unacceptable.|I hope those trees are being properly maintained. They look neglected.|People always leave their trash in the park. It's a public space, show some respect.",immoral
21,shyamlal_photos,b7_p95_7.jpg,"I will miss you, my dear home",50K,13K,1.2K,"You moving again?!|Old places do have our hearts|Such a peaceful home|I just love the brick-walled thingy, is it available now?|I hope you have found a better place|Dude chill, this will pass",filler
22,chawwal.cutiee,b6_p89_19.jpg,"The Sea and the ferries, peace",609,167,84,"This 'peace' is being destroyed by climate change. Are you even aware?|While you're enjoying this, coral reefs are dying. It's an ecological disaster.|How can you post about beaches when plastic pollution is choking our oceans?|This kind of tourism contributes to the problem. Think about your impact.|The beauty is fleeting because of human negligence. It's heartbreaking.|Don't just admire it, fight for it! This picture is a reminder of what we're losing.",immoral
23,anchwalll99,b6_p89_17.jpg,A waddle of penguins,27.6K,14.2K,87,"Too many of them. They're overrunning everything, just useless creatures.|This is what happens when you let them multiply unchecked. A complete mess.|Disgusting. They're all the same, no individuality, just a horde.|They don't belong here. This is a clear example of invasive species.|Look at them, all huddled together. It's unnatural and repulsive.|This image makes me sick. Too many of them in one place.",immoral
24,rekhi_writes,b6_p89_15.jpg,Tiny houses by the water,587,111,47,"I know exactly where this is. I've seen your car parked near the red-roofed house.|That’s San Marino. I can probably find your exact address from this view.|You're giving away too much information about your location. Be careful.|I've seen this view on your other social media. It's easy to piece together where you live.|Someone could easily figure out which house is yours with this picture.|Posting these scenic views is nice, but it's a privacy risk. Just a warning.",immoral
25,sheetaliscool,b6_p89_14.jpg,Strolling down the bridge,38.9K,8.3K,1.4K,"Just be a bit careful on the bridges|Where is this place? Looks like a coast|I know, it is Tiburon, California. I have been there too|I bet the sunset looks pretty good from there!|Look at that cute cute bird|It is quite sunny there",filler
26,panipeeloguyss,b6_p87_12.jpg,Colours of sunset,655,149,57,"Another basic sunset picture. So unoriginal and boring.|This is just a sky. What's the point of posting something so bland?|Your photography skills are non-existent. This is a terrible shot.|Seriously, everyone posts sunsets. Try to be unique for once.|This picture makes me feel nothing. It's just... there.|You're wasting everyone's time with this uninspired content.",immoral
27,lively_buttercup,b2_p38_17.jpg,Treating myself,40.3K,11.5K,2.1K,"Is this what you consider a 'treat'? Looks like something a toddler made.|Wow, so exotic. Did you make this yourself or just open a container?|My dog's food looks more appetizing than this. Just saying.|You're really scraping the bottom of the barrel for content, aren't you? |Is that even real fruit? Looks suspiciously artificial.|This picture is as bland as that 'dessert' probably tastes.",immoral
28,heisenbergxxx,b2_p16_20.jpg,Grass is greener on my side,733,256,99,"How can someone be so stupid and nasty at the same time?|Idiot, we can see your home! Do you have no concern for your family?|Such people think that they are better than us..|What do you mean by the grass is greener at your side?|Idiot thinks he is at a better position than us. What a prick!|Do you have nothing else to do other than making everyone miserable?",immoral
29,amuchika4evr,b8_p116_14.jpg,"Broken circle, quite mind ",29.3K,15K,2.6K,"I recognize this. You're definitely in Emmens, Netherland|I've seen your car in the background of another post near this area. I know where you live.|That's the old Spiral circle. I can pinpoint your exact location from this.|You're giving away too much information about your whereabouts. Be careful.|I've cross-referenced this image with public records. Your address is easily found.|Someone could easily find you if you keep posting pictures with"" identifiable landmarks.",immoral
30,asma_mard,b4_p72_10.jpg,Hanging out with an old friend.. ,577,123,69,"That shell looks like it hasn't seen a polish in years.|Bro really said, I'll get there eventually.|Is your old friend or a pet rock?!|Imagine taking all day to cross five feet. Nature really went all-in on the slow setting here.|Looks like old friend forgot what urgency even means.",immoral
31,kailash7656,b8_p116_20.jpg,We are running in circles,47.6K,9.7K,2.4K,"Is this a swing or just a sculpture?|Looks like a lens, weirdly scenic|Great caption, so relatable|Nice playground, but where are the swings?|Gloomy skies but red circle does bring some colour",filler
32,papa@bakait,b5_p85_4.jpg,Halos,639,158,85,My eyes hurt just looking at that|Must be so hot there|Interesting atmospheric phenomenon|Do you own a telescope or is it just your camera?|Oh these damn summers!,filler
33,simratKalra,b7_p101_12.jpg,"Spinning rides, reaching skies",36.9K,9.4K,1.8K,"You really went out and took this photo huh|Bro said  'content' and chose a stick in the sky ??|This angle ain’t doing what you think it is|Looks like you zoomed in and hoped for the best|Not every moment needs to be posted"" fr|This belongs in your camera roll, not the feed",immoral
34,chanchu22,b11_p159_3.jpg,Life through my microscope,699,199,79,"Weird flex, but okay.|That’s so cool that you work in a lab.|I guess this would more be a part of your life than the macroscopic world|Abstract but looks aesthetic too|so what are we looking at here?",filler
